property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,builtup_area_sqft,carpet_area_sqft,Super_Built_up_area,has_super_builtup,has_builtup_area,has_carpet_area,locality,study room,servant room,store room,pooja room,others,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_property,park_facing,freehold,rental_income,fully_furnished,newly_renovated
flat,mvn athens3.7 â˜…,0.27,5901.0,458.0,2,2,1,0.0,Unknown,1 to 5 Year Old,529.8960773181094,457.46575,529.0414791642636,0,0,1,Sohna,0,0,0,0,0,11,5.0,5.0,5.0,5.0,5.0,10,0,0,5,0,0,0,0,0,0,0,0
flat,supertech araville,0.95,6209.0,1530.0,2,2,3,7.0,North-East,0 to 1 Year Old,1413.0245388215462,1313.4309572479406,1529.9807459999995,1,0,0,Sector 79 Gurgaon,1,0,0,0,0,8,5.0,5.0,5.0,5.0,5.0,4,0,0,0,0,0,0,0,0,0,0,0
flat,ild greens4.1 â˜…,0.9,5614.0,1603.0,3,3,3,0.0,North-East,Under Construction,1500.0,1372.1426798657772,1602.9599879999998,1,1,0,Sector 37C Gurgaon,0,0,0,0,0,13,5.0,5.0,5.0,5.0,5.0,9,1,1,0,0,0,0,0,0,0,0,0
flat,antriksh heights3.7 â˜…,0.85,5556.0,1530.0,2,2,3,10.0,North-West,0 to 1 Year Old,1413.0245388215462,1313.4309572479406,1350.008338,1,0,0,Sector 84 Gurgaon,1,0,0,0,1,5,5.0,5.0,5.0,5.0,5.0,3,1,0,0,0,0,0,0,1,0,0,0
flat,chd avenue 713.6 â˜…,0.82,7083.0,1158.0,2,2,2,6.0,Unknown,5 to 10 Year Old,1106.56578165804,1014.2424529488276,1199.959572,1,0,0,Sector 71 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,15,0,2,1,0,0,0,0,0,0,0,1
flat,gls arawali homes3.8 â˜…,0.28,5982.0,468.0,2,2,2,3.0,Unknown,1 to 5 Year Old,538.134215951537,468.0143719999999,538.4318760604542,0,0,1,Sohna,0,0,0,0,0,7,5.0,5.0,5.0,5.0,5.0,6,0,0,0,0,0,0,0,0,0,0,0
flat,trisara our homes 3,0.21,4339.0,484.0,1,1,0,2.0,Unknown,1 to 5 Year Old,484.052583,472.1643564498974,553.456511094359,0,1,0,Sohna,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,13,1,1,1,1,0,0,0,0,0,0,0
flat,trisara our homes 3,0.38,6312.0,602.0,2,2,2,1.0,Unknown,1 to 5 Year Old,602.0249269999999,567.0682368458525,664.2631944694078,0,1,0,Sohna,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,13,1,1,1,1,0,0,0,0,0,0,0
flat,smart world gems,0.85,7706.0,1103.0,2,2,2,2.0,North-East,Under Construction,1061.2560191741886,1102.976833,1134.7220789685557,0,0,1,Sector 89 Gurgaon,1,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,14,1,1,0,1,0,1,0,0,0,0,0
flat,ashok vihar phase 2,0.28,4307.0,650.0,2,2,1,3.0,North,1 to 5 Year Old,688.068339079919,550.0,650.031921,1,0,1,Ashok Vihar Phase 2,0,0,0,0,0,11,5.0,5.0,5.0,5.0,5.0,49,1,12,5,0,0,0,0,0,0,0,0
